method,month,days,mean_flow_m3s,mean_sediment_kgm3,mean_sediment_flux_kg_s,water_volume_1e8_m3,sediment_mass_1e4_t,water_share,sediment_share,sediment_to_water_share_ratio
linear_flux_direct,1,186,336.38922491039426,0.8498490045165097,304.2630698086847,54.059094,488.9629237053487,0.02730652497440107,0.0037216613051211846,0.13629201476973413
linear_flux_direct,2,170,436.00208333333336,1.1916368609806975,642.7538968375289,64.039986,944.0769236749625,0.03234810922042635,0.00718568706451908,0.22213623107163394
linear_flux_direct,3,186,769.236559139785,2.427181724783635,2129.2976899082378,123.619392,3421.866559590134,0.0624430741471227,0.02604497754064671,0.41709954060368487
linear_flux_direct,4,180,977.5362268518519,3.351325007983161,3661.797061234458,152.026434,5694.826789631828,0.0767921418881,0.043345242501683034,0.5644489323509803
linear_flux_direct,5,186,1045.8314292114696,3.7697372622054597,4750.901030695374,168.069294,7634.8879923686945,0.08489576932312176,0.058111700974807716,0.6845064417006316
linear_flux_direct,6,180,1397.514699074074,4.884387292946947,9782.121776157333,217.341486,15213.155786279884,0.1097843170555622,0.11579244657146374,1.0547266647645201
linear_flux_direct,7,186,1911.0094086021506,7.8453651407137555,20249.124609889306,307.106856,32541.153213076508,0.15512692523433325,0.24768166432616162,1.5966387779040685
linear_flux_direct,8,186,1257.5063844086021,5.335733539304882,12299.76503605303,202.086306,19766.214403538663,0.10207856538945059,0.15044730740915718,1.4738383796360182
linear_flux_direct,9,180,1459.8987268518517,5.588332843675264,13624.514186776378,227.04345,21188.84446327462,0.11468500818195695,0.16127542338306294,1.406246779240636
linear_flux_direct,10,186,1585.6546818996414,4.698961370332606,10741.713641549326,254.82104999999999,17262.36349051543,0.12871612990458373,0.13138965578564415,1.0207707136863289
linear_flux_direct,11,180,778.4931712962964,2.682772778955709,3466.495410746368,121.071258,5391.093662792752,0.06115595149003339,0.04103342749396348,0.670963765491421
linear_flux_direct,12,186,550.2589605734768,1.5739759417667871,1142.1781469002497,88.428816,1835.525969194577,0.04466748319090802,0.013970805643769084,0.31277351320776486
linear_components_product,1,186,336.38922491039426,0.8498490045165097,304.1888946292407,54.059094,488.84372122497496,0.02730652497440107,0.0037210276579813586,0.13626880979801329
linear_components_product,2,170,436.00208333333336,1.1916368609806975,642.488095559156,64.039986,943.6865147572884,0.03234810922042635,0.007183243784080136,0.2220607002137932
linear_components_product,3,186,769.236559139785,2.427181724783635,2128.583164335174,123.619392,3420.718288413198,0.0624430741471227,0.026038152498823307,0.41699024038237736
