sample_datetime,sample_date,year,month,sample_type,r04_risk_level,conservative_risk_level,base_interval_days,trigger_threshold,trigger_rule
2022-01-01 09:00:00,2022-01-01,2022,1,base_daily_composite,low,low,14,1.0,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-01-15 09:00:00,2022-01-15,2022,1,base_daily_composite,low,low,14,1.0,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-01-29 09:00:00,2022-01-29,2022,1,base_daily_composite,low,low,14,1.0,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-02-01 09:00:00,2022-02-01,2022,2,base_daily_composite,low,low,14,2.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-02-15 09:00:00,2022-02-15,2022,2,base_daily_composite,low,low,14,2.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-03-01 09:00:00,2022-03-01,2022,3,base_daily_composite,low,low,14,1.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-03-15 09:00:00,2022-03-15,2022,3,base_daily_composite,low,low,14,1.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-03-29 09:00:00,2022-03-29,2022,3,base_daily_composite,low,low,14,1.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-04-01 09:00:00,2022-04-01,2022,4,base_daily_composite,medium,medium,10,1.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-04-11 09:00:00,2022-04-11,2022,4,base_daily_composite,medium,medium,10,1.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-04-21 09:00:00,2022-04-21,2022,4,base_daily_composite,medium,medium,10,1.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-05-01 09:00:00,2022-05-01,2022,5,base_daily_composite,medium,medium,10,1.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-05-11 09:00:00,2022-05-11,2022,5,base_daily_composite,medium,medium,10,1.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-05-21 09:00:00,2022-05-21,2022,5,base_daily_composite,medium,medium,10,1.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-05-31 09:00:00,2022-05-31,2022,5,base_daily_composite,medium,medium,10,1.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-06-01 09:00:00,2022-06-01,2022,6,base_daily_composite,medium,high,5,2.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-06-06 09:00:00,2022-06-06,2022,6,base_daily_composite,medium,high,5,2.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-06-11 09:00:00,2022-06-11,2022,6,base_daily_composite,medium,high,5,2.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-06-16 09:00:00,2022-06-16,2022,6,base_daily_composite,medium,high,5,2.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-06-21 09:00:00,2022-06-21,2022,6,base_daily_composite,medium,high,5,2.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-06-26 09:00:00,2022-06-26,2022,6,base_daily_composite,medium,high,5,2.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-07-01 09:00:00,2022-07-01,2022,7,base_daily_composite,high,high,5,2.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-07-06 09:00:00,2022-07-06,2022,7,base_daily_composite,high,high,5,2.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-07-11 09:00:00,2022-07-11,2022,7,base_daily_composite,high,high,5,2.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-07-16 09:00:00,2022-07-16,2022,7,base_daily_composite,high,high,5,2.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-07-21 09:00:00,2022-07-21,2022,7,base_daily_composite,high,high,5,2.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-07-26 09:00:00,2022-07-26,2022,7,base_daily_composite,high,high,5,2.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-07-31 09:00:00,2022-07-31,2022,7,base_daily_composite,high,high,5,2.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-08-01 09:00:00,2022-08-01,2022,8,base_daily_composite,medium,high,5,2.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
2022-08-06 09:00:00,2022-08-06,2022,8,base_daily_composite,medium,high,5,2.5,At 09:00 evaluate same-time Q and rapid C proxies; D>=threshold adds one sample on each of the next 2 days
